url href,img-fluid src,em-link,enum,additional__option--text
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0f-0-ouvreur-1-inverseur-3um-hand-0-auto/p/va-107444?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209497.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK210 H-0-A,
ELDAS®-No: 442221404",ELDAS®-No: 442221404,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-1-fermeur-0-ouvreur-0-inverseur-3um/p/va-107440?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209490.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK200,
ELDAS®-No: 442201304",ELDAS®-No: 442201304,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-3-fermeur-0-ouvreur-0-inverseur-3um/p/va-107442?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209496.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK202,
ELDAS®-No: 442203304",ELDAS®-No: 442203304,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0f-0-ouvreur-1-inverseur-3um-tag-0-nacht/p/va-107446?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209508.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK210 T-0-N,
ELDAS®-No: 442221504",ELDAS®-No: 442221504,
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0f-0-ouvreur-2-inverseur-3um-hand-0-auto/p/va-107453?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209513.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK211 H-0-A,
ELDAS®-No: 442122404",ELDAS®-No: 442122404,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-a-poussoir-amd-hager-svn-16a-230v-1-fermeur-0o-1-inverseur-led-vert/p/va-726523?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209627.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SVN413,
ELDAS®-No: 437174164",ELDAS®-No: 437174164,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0f-0-ouvreur-1-invers-3um-manuel-0-auto/p/va-107445?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209502.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK210 M-0-A,
ELDAS®-No: 442221604",ELDAS®-No: 442221604,
https://www.elektro-material.ch/fr/shop/interrupteur-a-poussoir-amd-hager-svn-16a-230v-1-fermeur-0-ouvreur-1-inverseur/p/va-726528?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1197842.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SVN312,
ELDAS®-No: 437174134",ELDAS®-No: 437174134,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0-fermeur-0-ouvreur-1-inverseur-3um/p/va-107443?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1320184.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK210,
ELDAS®-No: 442221304",ELDAS®-No: 442221304,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0-fermeur-0-ouvreur-2-inverseur-3um/p/va-107448?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209510.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK211,
ELDAS®-No: 442122304",ELDAS®-No: 442122304,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-2-fermeur-0-ouvreur-0-inverseur-3um/p/va-107441?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209491.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK201,
ELDAS®-No: 442202304",ELDAS®-No: 442202304,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-a-poussoir-amd-hager-16a-230v-1-fermeur-1-ouvreur-1-inverseur/p/va-726524?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1197882.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SVN352,
ELDAS®-No: 437175134",ELDAS®-No: 437175134,
https://www.elektro-material.ch/fr/shop/interrupteur-a-cle-amd-hager-10a-400v-2-fermeur-0-ouvreur-0-inverseur-3um/p/va-126837?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209525.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK606,
ELDAS®-No: 443003234",ELDAS®-No: 443003234,Accessoires
https://www.elektro-material.ch/fr/shop/interrupteur-graduale-amd-hager-20a-400v-0-fermeur-0-ouvreur-0-inverseur-3um/p/va-1284008?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209522.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK604,
ELDAS®-No: 443081214",ELDAS®-No: 443081214,
https://www.elektro-material.ch/fr/shop/interrupteur-rotatif-amd-hager-20a-400v-0f-0-ouvreur-1-inverseur-3um-jour-0-nuit/p/va-107447?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209500.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK210 J-0-N,
ELDAS®-No: 442221704",ELDAS®-No: 442221704,
https://www.elektro-material.ch/fr/shop/commutateur-de-voltmetre-hager-20a-400v-0-fermeur-0-ouvreur-0-inverseur-3um/p/va-126835?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209516.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK602,
ELDAS®-No: 443072214",ELDAS®-No: 443072214,
https://www.elektro-material.ch/fr/shop/commutateur-amd-hager-20a-400v-0-fermeur-0-ouvreur-2-inverseur-3um/p/va-709138?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209514.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK601,
ELDAS®-No: 443022214",ELDAS®-No: 443022214,
https://www.elektro-material.ch/fr/shop/interrupteur-a-poussoir-amd-hager-svn-16a-230v-2-fermeur-0o-1-inverseur-led-vert/p/va-726522?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209632.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SVN433,
ELDAS®-No: 437174264",ELDAS®-No: 437174264,Variantes
https://www.elektro-material.ch/fr/shop/interrupteur-a-poussoir-amd-hager-svn-16a-230v-2-fermeur-0-ouvreur-1-inverseur/p/va-726527?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1209606.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SVN332,
ELDAS®-No: 437174234",ELDAS®-No: 437174234,Variantes
https://www.elektro-material.ch/fr/shop/cle-hager-sk001-pour-interrupteur-a-cle-sk606-2-pieces/p/va-1284009?category=ELDAS-1376563962689,https://emagpim-1d1da.kxcdn.com/1197734.jpg?width=244&height=244&fit=contain&bg=FFFFFF,"F SK001,
ELDAS®-No: 443990004",ELDAS®-No: 443990004,
